Indicator,Name,ORGID ,FACID ,Cohort,Fiscal Year,Value
Total Expenses,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY17,30001000
Total Expenses,Cooley Dickinson Hospital,50,2155,Community Hospital,FY14,153809000
Total Expenses,Cooley Dickinson Hospital,50,2155,Community Hospital,FY15,153684000
Total Expenses,Cooley Dickinson Hospital,50,2155,Community Hospital,FY16,171154000
Total Expenses,Cooley Dickinson Hospital,50,2155,Community Hospital,FY17,182390000
Total Expenses,Cooley Dickinson Hospital,50,2155,Community Hospital,FY18,187892000
Total Expenses,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY14,1063589154
Total Expenses,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY15,1165921853
Total Expenses,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY16,1338214076
Total Expenses,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY17,1540855859
Total Expenses,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY18,1685383886
Total Expenses,Emerson Hospital,57,2018,Community Hospital,FY14,191224661
Total Expenses,Emerson Hospital,57,2018,Community Hospital,FY15,201989361
Total Expenses,Emerson Hospital,57,2018,Community Hospital,FY16,215657962
Total Expenses,Emerson Hospital,57,2018,Community Hospital,FY17,238786145
Total Expenses,Emerson Hospital,57,2018,Community Hospital,FY18,247191021
Total Expenses,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY14,44159487
Total Expenses,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY15,45809768
Total Expenses,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY16,47664541
Total Expenses,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY17,47879376
Total Expenses,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY18,52604669
Total Expenses,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY14,144167758
Total Expenses,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY15,144249069
Total Expenses,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY16,150381745
Total Expenses,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY17,154472722
Total Expenses,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY18,158065234
Total Expenses,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY14,113602061
Total Expenses,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY15,116876227
Total Expenses,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY16,125621753
Total Expenses,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY17,133384422
Total Expenses,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY18,135433574
Total Expenses,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY14,159596895
Total Expenses,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY15,160378866
Total Expenses,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY16,174787979
Total Expenses,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY17,185264919
Total Expenses,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY18,217108000
Total Expenses,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY14,99802272
Total Expenses,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY15,101224011
Total Expenses,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY16,107180377
Total Expenses,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY17,112984362
Total Expenses,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY18,122490244
Total Expenses,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY14,117311312
Total Expenses,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY15,123616380
Total Expenses,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY16,138365555
Total Expenses,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY17,151820243
Total Expenses,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY18,162175896
Total Expenses,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY14,755152266
Total Expenses,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY15,806224223
Total Expenses,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY16,872060596
Total Expenses,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY17,924196121
Total Expenses,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY18,945382386
Total Expenses,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY14,220673000
Total Expenses,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY15,230369000
Total Expenses,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY16,240123000
Total Expenses,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY17,247771000
Total Expenses,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY18,252533000
Total Expenses,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY14,409224792
Total Expenses,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY15,416657067
Total Expenses,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY16,431761151
Total Expenses,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY17,447616000
Total Expenses,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY18,457137000
Total Expenses,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY14,79106000
Total Expenses,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY15,76675000
Total Expenses,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY16,79953000
Total Expenses,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY17,82753000
Total Expenses,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY18,84603000
Total Expenses,Martha's Vineyard Hospital,88,2042,Community Hospital,FY14,68411000
Total Expenses,Martha's Vineyard Hospital,88,2042,Community Hospital,FY15,72601000
Total Expenses,Martha's Vineyard Hospital,88,2042,Community Hospital,FY16,76413000
Total Expenses,Martha's Vineyard Hospital,88,2042,Community Hospital,FY17,83894000
Total Expenses,Martha's Vineyard Hospital,88,2042,Community Hospital,FY18,87932000
Total Expenses,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY14,229220104
Total Expenses,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY15,254341559
Total Expenses,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY16,262160378
Total Expenses,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY17,280131251
Total Expenses,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY18,144880000
Total Expenses,Massachusetts General Hospital,91,2168,Academic Medical Center,FY14,3139210000
Total Expenses,Massachusetts General Hospital,91,2168,Academic Medical Center,FY15,3276215000
Total Expenses,Massachusetts General Hospital,91,2168,Academic Medical Center,FY16,3529300000
Total Expenses,Massachusetts General Hospital,91,2168,Academic Medical Center,FY17,3719141000
Total Expenses,Massachusetts General Hospital,91,2168,Academic Medical Center,FY18,3820595000
Total Expenses,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY14,252763000
Total Expenses,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY15,258412000
Total Expenses,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY16,267258000
Total Expenses,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY17,264978000
Total Expenses,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY18,233538000
Total Expenses,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY14,233621678
Total Expenses,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY15,256043154
Total Expenses,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY16,268911757
Total Expenses,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY17,286535867
Total Expenses,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY18,312757741
Total Expenses,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY14,255358119
Total Expenses,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY15,255365073
Total Expenses,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY16,248985839
Total Expenses,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY17,244691030
Total Expenses,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY18,249571525
Total Expenses,Milford Regional Medical Center,97,2105,Community Hospital,FY14,181003283
Total Expenses,Milford Regional Medical Center,97,2105,Community Hospital,FY15,191831439
Total Expenses,Milford Regional Medical Center,97,2105,Community Hospital,FY16,206836045
Total Expenses,Milford Regional Medical Center,97,2105,Community Hospital,FY17,205885223
Total Expenses,Milford Regional Medical Center,97,2105,Community Hospital,FY18,212846639
Total Expenses,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY14,107301907
Total Expenses,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY15,110700638
Total Expenses,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY16,116935075
Total Expenses,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY17,122865701
Total Expenses,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY18,127936958
Total Expenses,Mount Auburn Hospital,100,2071,Teaching Hospital,FY14,301408000
Total Expenses,Mount Auburn Hospital,100,2071,Teaching Hospital,FY15,309106000
Total Expenses,Mount Auburn Hospital,100,2071,Teaching Hospital,FY16,329813000
Total Expenses,Mount Auburn Hospital,100,2071,Teaching Hospital,FY17,330021000
Total Expenses,Mount Auburn Hospital,100,2071,Teaching Hospital,FY18,326471000
Total Expenses,Nantucket Cottage Hospital,101,2044,Community Hospital,FY14,37426000
Total Expenses,Nantucket Cottage Hospital,101,2044,Community Hospital,FY15,43402000
Total Expenses,Nantucket Cottage Hospital,101,2044,Community Hospital,FY16,50116000
Total Expenses,Nantucket Cottage Hospital,101,2044,Community Hospital,FY17,54923000
Total Expenses,Nantucket Cottage Hospital,101,2044,Community Hospital,FY18,59376000
Total Expenses,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY14,46111008
Total Expenses,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY15,48329965
Total Expenses,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY16,51899821
Total Expenses,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY17,58342564
Total Expenses,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY18,59676980
Total Expenses,New England Baptist Hospital,103,2059,Specialty Hospital,FY14,233650364
Total Expenses,New England Baptist Hospital,103,2059,Specialty Hospital,FY15,238692635
Total Expenses,New England Baptist Hospital,103,2059,Specialty Hospital,FY16,236118378.4
Total Expenses,New England Baptist Hospital,103,2059,Specialty Hospital,FY17,234108572
Total Expenses,New England Baptist Hospital,103,2059,Specialty Hospital,FY18,237209000
Total Expenses,Newton-Wellesley Hospital,105,2075,Community Hospital,FY14,414701000
Total Expenses,Newton-Wellesley Hospital,105,2075,Community Hospital,FY15,422052000
Total Expenses,Newton-Wellesley Hospital,105,2075,Community Hospital,FY16,439246000
Total Expenses,Newton-Wellesley Hospital,105,2075,Community Hospital,FY17,454027000
Total Expenses,Newton-Wellesley Hospital,105,2075,Community Hospital,FY18,491449000
Total Expenses,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY14,438157000
Total Expenses,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY15,454644000
Total Expenses,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY16,467892000
Total Expenses,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY17,471650000
Total Expenses,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY18,455291000
Total Expenses,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY14,317311000
Total Expenses,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY15,337646054
Total Expenses,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY16,332957222
Total Expenses,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY17,335612261
Total Expenses,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY18,351735629
Total Expenses,Quincy Medical Center,112,2151,Community High Public Payer Hospital,FY14,107650292
Total Expenses,Saint Vincent Hospital,127,2128,Teaching Hospital,FY14,353023211
Total Expenses,Saint Vincent Hospital,127,2128,Teaching Hospital,FY15,386532522
Total Expenses,Saint Vincent Hospital,127,2128,Teaching Hospital,FY16,411301167
Total Expenses,Saint Vincent Hospital,127,2128,Teaching Hospital,FY17,409137115
Total Expenses,Saint Vincent Hospital,127,2128,Teaching Hospital,FY18,423582870
Total Expenses,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY14,39939409
Total Expenses,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY15,39194328
Total Expenses,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY16,41454424
Total Expenses,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY17,43675923
Total Expenses,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY18,40110000
Total Expenses,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY14,19371892
Total Expenses,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY15,17275786
Total Expenses,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY16,18621513
Total Expenses,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY17,22762460
Total Expenses,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY18,24075000
Total Expenses,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY14,220197870
Total Expenses,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY15,246685147
Total Expenses,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY16,256867327
Total Expenses,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY17,268149261
Total Expenses,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY18,277191745
Total Expenses,South Shore Hospital,122,2107,Community Hospital,FY14,478526092
Total Expenses,South Shore Hospital,122,2107,Community Hospital,FY15,513779154
Total Expenses,South Shore Hospital,122,2107,Community Hospital,FY16,552660842
Total Expenses,South Shore Hospital,122,2107,Community Hospital,FY17,592432677
Total Expenses,South Shore Hospital,122,2107,Community Hospital,FY18,606108981
Total Expenses,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY14,692099605
Total Expenses,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY15,745690439
Total Expenses,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY16,756371260
Total Expenses,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY17,772749131
Total Expenses,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY18,777456710
Total Expenses,Steward Carney Hospital,42,2003,Teaching Hospital,FY14,100655472
Total Expenses,Steward Carney Hospital,42,2003,Teaching Hospital,FY15,122934300
Total Expenses,Steward Carney Hospital,42,2003,Teaching Hospital,FY16,132929893
Total Expenses,Steward Carney Hospital,42,2003,Teaching Hospital,FY17,143825590
Total Expenses,Steward Carney Hospital,42,2003,Teaching Hospital,FY18,141927466
Total Expenses,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY14,227206028
Total Expenses,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY15,238412892
Total Expenses,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY16,243133514
Total Expenses,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY17,250762662
Total Expenses,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY18,261210251
Total Expenses,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY14,191211786
Total Expenses,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY15,217660687
Total Expenses,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY16,223230760
Total Expenses,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY17,228737225
Total Expenses,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY18,233910672
Total Expenses,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY14,164733305
Total Expenses,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY15,167624430
Total Expenses,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY16,167857625
Total Expenses,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY17,180259317
Total Expenses,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY18,183468357
Total Expenses,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY14,209758002
Total Expenses,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY15,227951976
Total Expenses,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY16,235280527
Total Expenses,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY17,231159108
Total Expenses,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY18,241285336
Total Expenses,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY14,295273652
Total Expenses,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY15,312740959
Total Expenses,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY16,324679412
Total Expenses,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY17,341792799
Total Expenses,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY18,362763134
Total Expenses,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY14,149588472
Total Expenses,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY15,154665998
Total Expenses,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY16,159462475
Total Expenses,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY17,170284020
Total Expenses,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY18,179075771
Total Expenses,Tufts Medical Center,104,2299,Academic Medical Center,FY14,680580169
Total Expenses,Tufts Medical Center,104,2299,Academic Medical Center,FY15,704300829
Total Expenses,Tufts Medical Center,104,2299,Academic Medical Center,FY16,738627958
Total Expenses,Tufts Medical Center,104,2299,Academic Medical Center,FY17,773092000
Total Expenses,Tufts Medical Center,104,2299,Academic Medical Center,FY18,847885522
Total Expenses,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY14,1503389000
Total Expenses,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY15,1473140000
Total Expenses,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY16,1584557000
Total Expenses,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY17,1680817000
Total Expenses,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY18,1739069000
Total Expenses,Winchester Hospital,138,2094,Community Hospital,FY14,263134606
Total Expenses,Winchester Hospital,138,2094,Community Hospital,FY15,266275049
Total Expenses,Winchester Hospital,138,2094,Community Hospital,FY16,271918133
Total Expenses,Winchester Hospital,138,2094,Community Hospital,FY17,277865144
Total Expenses,Winchester Hospital,138,2094,Community Hospital,FY18,276740344
Total Surplus,Anna Jaques Hospital,1,2006,Community Hospital,FY14,874080
Total Surplus,Anna Jaques Hospital,1,2006,Community Hospital,FY15,1201219
Total Surplus,Anna Jaques Hospital,1,2006,Community Hospital,FY16,817092
Total Surplus,Anna Jaques Hospital,1,2006,Community Hospital,FY17,2171957
Total Surplus,Anna Jaques Hospital,1,2006,Community Hospital,FY18,1758543
Total Surplus,Athol Hospital,2,2226,Community High Public Payer Hospital,FY14,1415657
Total Surplus,Athol Hospital,2,2226,Community High Public Payer Hospital,FY15,-402216
Total Surplus,Athol Hospital,2,2226,Community High Public Payer Hospital,FY16,769950
Total Surplus,Athol Hospital,2,2226,Community High Public Payer Hospital,FY17,1923862
Total Surplus,Athol Hospital,2,2226,Community High Public Payer Hospital,FY18,1223341
Total Surplus,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY14,1777000
Total Surplus,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY15,10630000
Total Surplus,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY16,2208000
Total Surplus,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY17,-209000
Total Surplus,Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,FY18,605000
Total Surplus,Baystate Medical Center,4,2339,Teaching Hospital,FY14,96280000
Total Surplus,Baystate Medical Center,4,2339,Teaching Hospital,FY15,76849000
Total Surplus,Baystate Medical Center,4,2339,Teaching Hospital,FY16,97752000
Total Surplus,Baystate Medical Center,4,2339,Teaching Hospital,FY17,108997000
Total Surplus,Baystate Medical Center,4,2339,Teaching Hospital,FY18,99804000
Total Surplus,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY14,1505412
Total Surplus,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY15,781959
Total Surplus,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY16,3267226
Total Surplus,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY17,-332050
Total Surplus,Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,FY18,1156000
Total Surplus,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY14,-1451000
Total Surplus,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY15,293000
Total Surplus,Baystate Mary Lane Hospital,6,21448,Community High Public Payer Hospital,FY16,-1506000
Total Surplus,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY14,1881000
Total Surplus,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY15,-5448000
Total Surplus,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY16,-6191000
Total Surplus,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY17,-9057000
Total Surplus,Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,FY18,-4399000
Total Surplus,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY14,38831682
Total Surplus,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY15,46404417
Total Surplus,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY16,47196501
Total Surplus,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY17,36280512
Total Surplus,Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,FY18,49429429
Total Surplus,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY14,2352183
Total Surplus,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY15,1059430
Total Surplus,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY16,5437544
Total Surplus,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY17,14218816
Total Surplus,Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,FY18,5848000
Total Surplus,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY14,2303405
Total Surplus,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY15,3700775
Total Surplus,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY16,-441192
Total Surplus,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY17,2186962
Total Surplus,Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,FY18,5446000
Total Surplus,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY14,63443
Total Surplus,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY15,6595748
Total Surplus,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY16,3630234
Total Surplus,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY17,16151618
Total Surplus,Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,FY18,14219000
Total Surplus,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY14,63285000
Total Surplus,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY15,29747569
Total Surplus,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY16,49766991
Total Surplus,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY17,74601445
Total Surplus,Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,FY18,103921000
Total Surplus,Boston Children's Hospital ,46,2139,Specialty Hospital,FY14,51183000
Total Surplus,Boston Children's Hospital ,46,2139,Specialty Hospital,FY15,-5465192
Total Surplus,Boston Children's Hospital ,46,2139,Specialty Hospital,FY16,-330000
Total Surplus,Boston Children's Hospital ,46,2139,Specialty Hospital,FY17,72784000
Total Surplus,Boston Children's Hospital ,46,2139,Specialty Hospital,FY18,122866000
Total Surplus,Boston Medical Center,3107,2307,Academic Medical Center,FY14,55503000
Total Surplus,Boston Medical Center,3107,2307,Academic Medical Center,FY15,29333000
Total Surplus,Boston Medical Center,3107,2307,Academic Medical Center,FY16,-7631000
Total Surplus,Boston Medical Center,3107,2307,Academic Medical Center,FY17,28617000
Total Surplus,Boston Medical Center,3107,2307,Academic Medical Center,FY18,49421000
Total Surplus,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY14,9177000
Total Surplus,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY15,973000
Total Surplus,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY16,18822000
Total Surplus,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY17,17148000
Total Surplus,Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,FY18,30228000
Total Surplus,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY14,151657000
Total Surplus,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY15,60800000
Total Surplus,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY16,94383000
Total Surplus,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY17,55854000
Total Surplus,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY18,173026000
Total Surplus,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY14,-19339831
Total Surplus,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY15,7945894
Total Surplus,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY16,-18821572
Total Surplus,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY17,5478216
Total Surplus,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY18,7520736.47
Total Surplus,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY14,29481049
Total Surplus,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY15,38455033
Total Surplus,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY16,44167623
Total Surplus,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY17,47372601
Total Surplus,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY18,48090820
Total Surplus,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY14,163000
Total Surplus,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY15,-1229000
Total Surplus,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY16,-2290000
Total Surplus,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY17,-4373000
